company_id,person_id,match_type,score,is_validated
5,55977007,Exact,1.0,False
11,11828018,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
16,11586597,Exact,1.0,False
18,52639125,Exact,1.0,False
18,79387550,Exact,1.0,False
18,50037219,Exact,1.0,False
18,50037219,Exact,1.0,False
18,52669661,Exact,1.0,False
18,52669661,Exact,1.0,False
18,52669661,Exact,1.0,False
18,52669661,Exact,1.0,False
18,52669661,Exact,1.0,False
18,52669661,Exact,1.0,False
18,52669661,Exact,1.0,False
18,72418508,Exact,1.0,False
18,72418508,Exact,1.0,False
18,72418508,Exact,1.0,False
35,652128,Exact,1.0,False
65,10560721,Exact,1.0,False
65,10560721,Exact,1.0,False
75,72246595,Exact,1.0,False
81,51572365,Exact,1.0,False
81,51572365,Exact,1.0,False
81,51572365,Exact,1.0,False
81,51572365,Exact,1.0,False
81,51572365,Exact,1.0,False
81,51572365,Exact,1.0,False
81,51572365,Exact,1.0,False
81,51572365,Exact,1.0,False
106,72374020,Exact,1.0,False
106,74804309,Exact,1.0,False
114,48337911,Exact,1.0,False
114,48337911,Exact,1.0,False
114,48337911,Exact,1.0,False
114,48337911,Exact,1.0,False
114,55992887,Exact,1.0,False
114,55992887,Exact,1.0,False
142,12388815,Exact,1.0,False
142,12388815,Exact,1.0,False
142,12388815,Exact,1.0,False
142,12388815,Exact,1.0,False
142,12388815,Exact,1.0,False
142,12388815,Exact,1.0,False
142,55892926,Exact,1.0,False
146,79657301,Exact,1.0,False
146,79657301,Exact,1.0,False
146,79657301,Exact,1.0,False
154,10968267,Exact,1.0,False
154,10968267,Exact,1.0,False
154,10968267,Exact,1.0,False
154,10968267,Exact,1.0,False
154,10968267,Exact,1.0,False
154,10968267,Exact,1.0,False
154,10968267,Exact,1.0,False
154,10968267,Exact,1.0,False
190,5846386,Exact,1.0,False
190,5846386,Exact,1.0,False
190,5846386,Exact,1.0,False
190,6090895,Exact,1.0,False
190,6090895,Exact,1.0,False
190,6090895,Exact,1.0,False
203,58046299,Exact,1.0,False
203,54820545,Exact,1.0,False
203,54820545,Exact,1.0,False
203,54820545,Exact,1.0,False
203,54820545,Exact,1.0,False
203,54820545,Exact,1.0,False
203,54820545,Exact,1.0,False
203,54820545,Exact,1.0,False
203,54820545,Exact,1.0,False
219,6221204,Exact,1.0,False
219,6221204,Exact,1.0,False
219,6221204,Exact,1.0,False
219,6221204,Exact,1.0,False
219,6221204,Exact,1.0,False
219,6221204,Exact,1.0,False
219,6221204,Exact,1.0,False
242,12443773,Exact,1.0,False
242,12443773,Exact,1.0,False
242,12443773,Exact,1.0,False
242,12443773,Exact,1.0,False
242,12443773,Exact,1.0,False
247,72472015,Exact,1.0,False
247,72472015,Exact,1.0,False
256,83591421,Exact,1.0,False
256,83528492,Exact,1.0,False
256,85942397,Exact,1.0,False
256,81797138,Exact,1.0,False
271,54786165,Exact,1.0,False
271,54786165,Exact,1.0,False
290,69879208,Exact,1.0,False
290,53398335,Exact,1.0,False
310,45181455,Exact,1.0,False
313,12186270,Exact,1.0,False
313,12186270,Exact,1.0,False
313,10919949,Exact,1.0,False
313,10919949,Exact,1.0,False
313,10919949,Exact,1.0,False
313,10919949,Exact,1.0,False
313,10919949,Exact,1.0,False
313,10919949,Exact,1.0,False
313,10919949,Exact,1.0,False
313,10919949,Exact,1.0,False
313,10919949,Exact,1.0,False
319,11280032,Exact,1.0,False
319,130580,Exact,1.0,False
319,130580,Exact,1.0,False
327,11902652,Exact,1.0,False
338,8332776,Exact,1.0,False
340,56965814,Exact,1.0,False
438,72408171,Exact,1.0,False
438,86123356,Exact,1.0,False
500,58020354,Exact,1.0,False
508,7206353,Exact,1.0,False
508,7206353,Exact,1.0,False
508,7206353,Exact,1.0,False
508,7206353,Exact,1.0,False
508,7206353,Exact,1.0,False
508,9706782,Exact,1.0,False
